set N := 1	2	3	4	5	20;
set P := 1	2	3	4	5	6	7	8	9	10;											
set K := 1;		
set V := 1	2	3;	


param sigma
:	1	2 :=
1	0.1	0.9
2	0.2	0.8
3	0.3	0.7
4	0.4	0.6
5	0.5	0.5
6	0.6	0.4
7	0.7	0.3
8	0.8	0.2
9	0.9	0.1
;

param O:= 1;
																
param d :=															
1	0																
2	1000																
3	1000	
4	1000
5	1000
6	1000
7	1000
8	1000
9	1000
10	1000
11	1000
12	1000
13	1000
14	1000															
20	0
;	
														
param q:= 3000;

param LI :=	# mover a horas		
												
1	0
2	0.5
3	1
4	1.5
5	2
6	2.5
7	3
8	3.5
9	4
10	4.5												
;
															
param LS :=	# mover a horas		
												
1	0.4999
2	0.9999
3	1.4999
4	1.9999
5	2.4999
6	2.9999
7	3.4999
8	3.9999
9	4.4999
10	16.7
;

						
param e:=
[*,*,1]:	1	2	3	4	5	6	7	8	9	10	11	12	13	14	20:=
1	159	233	242	186	105	249	135	164	178	143	124	113	195	189	0
2	213	226	141	232	243	195	113	196	140	124	176	129	118	193	182
3	201	103	250	142	164	175	232	168	113	146	163	227	143	170	169
4	191	223	191	157	121	158	101	220	121	235	145	217	219	240	203
5	139	184	217	111	130	194	129	233	165	129	160	206	187	226	159
6	102	202	219	224	101	169	162	213	125	203	235	147	121	250	127
7	180	190	125	198	215	213	128	174	137	174	241	233	161	221	212
8	182	154	120	203	104	105	100	157	241	243	236	173	221	188	227
9	152	230	243	173	211	156	238	110	144	150	165	166	198	207	159
10	144	160	141	188	108	233	195	201	202	172	220	158	140	222	168
11	122	203	167	132	233	145	198	239	175	237	114	172	127	159	245
12	242	127	103	107	105	222	189	160	226	247	134	170	203	182	137
13	139	175	198	170	117	230	245	101	249	218	102	229	236	163	150
14	185	205	179	218	189	236	197	220	233	158	173	217	107	189	144
20	221	170	205	187	100	180	119	199	136	126	144	164	139	143	0

	
[*,*,2]:	1	2	3	4	5	6	7	8	9	10	11	12	13	14	20:=
1	221	127	334	291	296	260	253	211	286	347	130	210	178	206	0
2	165	232	236	343	306	288	291	147	229	287	207	110	300	181	320
3	113	171	304	224	178	312	290	302	114	261	219	349	132	333	336
4	234	349	318	211	235	283	335	252	214	158	288	260	289	247	216
5	329	262	140	310	159	223	284	139	199	244	284	180	277	291	183
6	120	189	327	235	137	310	265	117	345	289	314	332	218	203	142
7	115	250	326	301	163	244	322	339	196	325	138	140	323	191	190
8	332	114	216	165	226	309	258	134	119	249	152	248	125	349	176
9	186	201	134	106	206	318	342	289	264	196	107	338	186	171	213
10	339	209	213	176	246	233	144	113	341	211	132	342	256	181	179
11	100	250	131	343	108	170	134	324	181	238	344	160	330	277	264
12	241	100	208	210	104	277	118	322	315	190	317	225	161	255	246
13	132	248	321	104	187	149	100	321	166	238	287	165	279	162	192
