:     FN1         FN2       F1      F2      BT1   BT2 TCPU2    :=
1   1          0           1549   5077.26   0.1   0.9    5
2   1          0           1549   5077.26   0.2   0.8    5
3   0.766234   0.0622754   1459   5095.59   0.3   0.7    5
4   0.766234   0.0622754   1459   5095.59   0.4   0.6    6
5   0.766234   0.0622754   1459   5095.59   0.5   0.5    7
6   0          1           1164   5371.62   0.6   0.4    6
7   0          1           1164   5371.62   0.7   0.3    6
8   0          1           1164   5371.62   0.8   0.2    7
9   0          1           1164   5371.62   0.9   0.1    6
;

